"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"peak_R_STG_speechoppo_HbO",1.15407800245336,0.6972585640438,0.576869294211949,0.286430548115223,0.853468789126377,0.584775554807085,0.719453949012967,0.769214226862493,0.521124907047599,0.589001909923649,1.92325134310948,0.447199361860871,0.838119616956281,0.910185878021116
"d_prime_speechoppo_HbO",2.6616,3.1474,2.2722,2.7702,3.2429,2.7104,3.1582,3.2481,2.3294,1.4699,0.32855,3.2108,2.6474,2.5778
