"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"peak_R_cIFS_noise_HbR",0.0406868406318204,0.125034927720555,0.0185128841168283,0.0477596649047012,0.120994978637291,0.0485430184086182,0.0070158706681597,0.00309020076383131,0.16468177789621,0.0882336385494017,0.277526186406905,0.02396986526254,0.163597057505887,0.0317612454930261
"d_prime_noise_HbR",1.917,2.042,1.5646,2.2775,1.4194,1.2436,0.66378,1.5242,2.7789,1.6877,2.6215,1.6067,-0.059285,0.48305
