"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"peak_L_cIFS_noise_HbR",0.0209934388523872,0.0976456737583568,0.173285884331015,0.105144539585808,0.0389720050577607,0.0425587812002115,0.0133191974459866,0.0440114199623075,0.00233611304011347,0.336931973936567,0.251947224268499,0.0312343997473947,0.0747694801769386,0.0512516217387542
"d_prime_noise_HbR",1.917,2.042,1.5646,2.2775,1.4194,1.2436,0.66378,1.5242,2.7789,1.6877,2.6215,1.6067,-0.059285,0.48305
